Component,Model_Importance,Permutation_Importance,Permutation_Std
PC8,0.17487169912098494,0.09009009009009007,0.021319206425584214
PC9,0.14597567173782497,0.05225225225225223,0.024106465153621012
PC14,0.05105222073047536,0.0252252252252252,0.02085736378881122
PC11,0.034339114631946346,0.019819819819819784,0.008826990064083502
PC3,0.03819715506642889,0.016216216216216182,0.013839902248411891
PC7,0.04239815373784069,0.016216216216216172,0.010506219630351872
PC2,0.06588838102344544,0.014414414414414378,0.01718809371922424
PC6,0.030399089065167372,0.009909909909909887,0.008499082100951872
PC18,0.030636538570298136,0.007207207207207189,0.008826990064083502
PC12,0.05460454675713483,0.003603603603603589,0.008256893144064555
PC17,0.029748619341973686,0.0027027027027027085,0.0057685803940836595
PC15,0.030766561008967973,0.0027027027027026864,0.013392854727313963
PC4,0.030127258734145207,0.0018018018018018055,0.008826990064083542
PC10,0.0676700368706683,-0.001801801801801839,0.02726620891967847
PC13,0.027811893160963632,-0.0027027027027027085,0.008108108108108126
PC5,0.05439953895333242,-0.0036036036036036336,0.017188093719224255
PC16,0.051227923962499575,-0.0045045045045045366,0.014101329587836504
PC1,0.03988559752590228,-0.011711711711711736,0.00905394200100983
