Component,SHAP_Importance,Rank
PC8,0.11969588971344187,1
PC9,0.10004322899789003,2
PC10,0.04265695674762181,3
PC2,0.03979179989138013,4
PC12,0.035542821673678976,5
PC14,0.029532663883921496,6
PC5,0.0272654675639667,7
PC3,0.023750745120182326,8
PC7,0.01755151658628891,9
PC16,0.01727520357280932,10
PC11,0.012242412389376928,11
PC15,0.012228447002883072,12
PC1,0.010697595907213624,13
PC18,0.006962171182617621,14
PC6,0.0064175721417524855,15
PC17,0.006191501877750366,16
PC13,0.006044356323240375,17
PC4,0.004120057871014041,18
