Sample_ID,Risk_Level,Anchor_Size,Precision,Coverage,Top_Features
28,Alto,2,0.9911764705882353,0.0939,"PC9, PC8"
19,Alto,2,0.8292682926829268,0.1275,"PC9, PC2"
13,Alto,2,0.9351432880844646,0.0789,"PC8, PC2"
100,Alto,2,0.958969465648855,0.0897,"PC8, PC9"
20,Alto,3,0.9567474048442907,0.084,"PC8, PC12, PC9"
92,Alto,2,0.8661037394451147,0.0716,"PC8, PC12"
67,Alto,2,0.9167455061494797,0.0734,"PC8, PC10"
44,Alto,2,0.909541511771995,0.0794,"PC8, PC2"
46,Alto,2,0.851207729468599,0.1219,"PC9, PC12"
80,Alto,3,0.8279118572927597,0.0775,"PC9, PC15, PC10"
87,Alto,2,0.979557069846678,0.0905,"PC9, PC8"
12,Alto,2,0.8437190900098912,0.1233,"PC9, PC12"
108,Alto,3,0.832258064516129,0.0172,"PC10, PC15, PC7"
81,Alto,2,0.9800399201596807,0.0947,"PC9, PC8"
24,Alto,2,0.9754901960784313,0.086,"PC9, PC8"
7,Basso,2,0.8878012048192772,0.1235,"PC8, PC9"
25,Basso,3,0.8761061946902655,0.1019,"PC8, PC2, PC9"
91,Basso,2,0.8847161572052402,0.1236,"PC8, PC9"
30,Basso,3,0.867879746835443,0.2213,"PC8, PC9, PC5"
2,Basso,2,0.8834586466165414,0.123,"PC8, PC9"
48,Basso,2,0.8459143968871595,0.1814,"PC8, PC9"
106,Basso,2,0.886438809261301,0.1297,"PC8, PC9"
105,Basso,2,0.8627450980392157,0.1775,"PC8, PC9"
22,Basso,2,0.9085667215815486,0.122,"PC8, PC9"
21,Basso,2,0.8741573033707866,0.0661,"PC8, PC2"
55,Basso,2,0.8389662027833003,0.0585,"PC9, PC2"
79,Basso,2,0.8124156545209177,0.1339,"PC8, PC2"
104,Basso,2,0.8987764182424917,0.1256,"PC8, PC9"
95,Basso,2,0.8933500627352572,0.1235,"PC8, PC9"
89,Basso,2,0.9066788655077768,0.1261,"PC8, PC9"
